o1,o2,o3,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0.418560445,90.86963771,8.501095349,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.421334943,90.60717146,8.448727785,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.503469585,90.66826615,8.398583261,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.366271657,90.38863258,8.338262803,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.416175405,90.40853835,8.29796489,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.488901403,90.09982606,8.230813882,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.424138332,90.20656821,8.174807682,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.272816299,91.51309963,8.096263719,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.345082074,91.29522198,8.0495021,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.372629355,91.30606185,7.994877165,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.170562234,91.12448989,7.912505438,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.251615159,91.16331428,7.846203464,1,1,1,-1,-1,1,1,1,1,-1,1,1,1
0.261231469,90.93781359,7.816748076,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.217433174,90.98442027,7.715761856,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.235066533,90.73732395,7.668391594,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.212221896,90.44754973,7.569354821,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.247474527,90.54837702,7.513578548,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.197848883,91.41701113,7.413669438,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.222441725,91.20063208,7.370493875,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.222628276,91.19186499,7.283674036,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.271305594,90.9949406,7.213862737,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.182006603,91.03710242,7.110772082,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.339685621,90.79020084,7.090425362,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.224657252,90.83344646,7.039103556,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.281205202,90.59170837,6.88232467,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.360130693,90.59145458,6.833300949,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.235337879,90.28513833,6.754612094,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.248131416,90.37426934,7.626970326,1,1,1,-1,-1,1,1,1,1,1,1,1,-1
0.246935982,91.32791091,7.655501653,1,1,1,-1,-1,1,1,1,1,1,1,1,-1
0.236584764,91.08131784,7.684427069,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.239612296,91.08439009,7.707067228,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.241428656,90.88568284,7.751389532,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.24396099,90.91000351,7.787904495,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.257183222,90.66336873,7.824481256,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.243848095,90.71458524,7.668236889,1,1,1,-1,-1,1,1,1,1,1,1,1,-1
0.232791732,90.21288982,7.701060572,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.235843211,90.13173471,7.723147427,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.237444533,90.12490218,7.770821245,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.240170134,90.21839559,7.805382252,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.253161414,91.26328507,7.84433114,1,1,1,-1,-1,1,1,1,1,1,1,1,1
0.261658056,91.03356139,7.539202663,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
0.264649458,91.02132305,7.568093736,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
0.262236253,90.82146675,7.592288059,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1
